Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,2530.462891,3466.992188,2449.353516,3433.732666,3433.732666,703006251884
2021-09-01,3430.762451,4022.469238,2676.407471,3001.678955,3001.678955,653984909752
2021-10-01,3001.129395,4455.735352,2978.654297,4288.074219,4288.074219,574798465423
2021-11-01,4288.217285,4891.704590,3933.506592,4631.479004,4631.479004,573546775953
2021-12-01,4623.679688,4780.732422,3525.494141,3682.632813,3682.632813,621042023890
2022-01-01,3683.047119,3876.785156,2172.301270,2688.278809,2688.278809,491108556504
2022-02-01,2687.898926,3271.316162,2308.914795,2919.201172,2919.201172,416163449938
2022-03-01,2919.775879,3470.186279,2455.593750,3281.642822,3281.642822,436852450559
2022-04-01,3282.576172,3573.960205,2727.406250,2730.186768,2730.186768,493826441956
2022-05-01,2729.994141,2956.686768,1721.264771,1942.328003,1942.328003,636271175493
2022-06-01,1942.050659,1965.166626,896.109009,1067.298828,1067.298828,562032668964
2022-07-01,1068.316772,1774.576416,1019.220337,1681.517334,1681.517334,534457515643
2022-08-01,1681.445557,2022.791504,1427.728394,1553.684937,1553.684937,554162785316
2022-09-01,1553.756348,1784.497803,1229.426758,1327.978638,1327.978638,496652295826
2022-10-01,1328.193726,1652.382202,1209.278198,1572.714478,1572.714478,382071643030
2022-11-01,1572.645386,1661.334717,1081.138184,1295.688599,1295.688599,421797905717
2022-12-01,1295.769531,1346.174438,1160.377197,1196.771240,1196.771240,161130639970
2023-01-01,1196.713623,1674.179321,1192.885376,1586.535400,1586.535400,224952954314
2023-02-01,1586.488159,1732.801147,1470.023926,1605.895142,1605.895142,223749343195
2023-03-01,1606.040405,1853.888062,1378.525391,1822.022095,1822.022095,302468060876
2023-04-01,1821.704346,2137.445068,1765.518921,1876.924316,1876.924316,277179762298
2023-05-01,1868.891113,2017.559448,1742.403809,1874.130493,1874.130493,202326166173
2023-06-01,1873.914673,1945.274292,1624.138306,1933.188965,1933.188965,206194132396
2023-07-01,1933.323853,2026.204956,1832.025391,1856.162354,1856.162354,177596680398
2023-08-01,1856.190186,1877.511475,1551.713257,1645.639160,1645.639160,168678383229
2023-09-01,1645.581299,1692.531128,1533.426758,1671.161865,1671.161865,134781867370
2023-10-01,1671.161499,1865.095215,1523.237549,1816.458984,1816.458984,192662877051
2023-11-01,1815.872070,1914.582642,1779.635498,1888.124268,1888.124268,58275471253
